Country,Continent
Norway,Europe
Spain,Europe
Italy,Europe
Spain,Europe
Spain,Europe
France,Europe
Chile,America
Sudan,Africa
Islamic Republic of Iran,Asia
Azerbaijan,Asia
Netherlands,Europe
Australia,Oceania
United States of America,America
Qatar,Asia
Egypt,Africa
Egypt,Africa
Sudan,Africa
Egypt,Africa
Egypt,Africa
Egypt,Africa
Egypt,Africa
Egypt,Africa
Egypt,Africa
Egypt,Africa
Egypt,Africa
Egypt,Africa
Egypt,Africa
Italy,Europe
Belgium,Europe
United States of America,America
Malaysia,Asia
Singapore,Asia
Maldives,Asia
Saudi Arabia,Asia
Germany,Europe
Uzbekistan,Asia
Uzbekistan,Asia
Indonesia,Asia
Kazakhstan,Asia
Bahrain,Asia
Uzbekistan,Asia
Uzbekistan,Asia
Uzbekistan,Asia
Japan,Asia
Japan,Asia
Japan,Asia
Ethiopia,Africa
Islamic Republic of Iran,Asia
Canada,America
Malta,Europe
Norway,Europe
Sri Lanka,Asia
Spain,Europe
Morocco,Africa
Austria,Europe
Mauritania,Africa
ROC,Europe
Libya,Africa
Egypt,Africa
Nauru,Oceania
Switzerland,Europe
South Africa,Africa
Guyana,America
Guyana,America
Georgia,Asia
Portugal,Europe
Spain,Europe
ROC,Europe
Jordan,Asia
Palestine,Asia
Germany,Europe
Qatar,Asia
Italy,Europe
Italy,Europe
Belgium,Europe
India,Asia
Cyprus,Asia
Nigeria,Africa
Canada,America
Tunisia,Africa
South Africa,Africa
Mexico,America
Chile,America
Colombia,America
El Salvador,America
Chile,America
Japan,Asia
Japan,Asia
Egypt,Africa
Romania,Europe
Poland,Europe
Poland,Europe
Australia,Oceania
Australia,Oceania
Federated States of Micronesia,Oceania
Poland,Europe
Brazil,America
Turkey,Asia
United States of America,America
Nigeria,Africa
Nigeria,Africa
Egypt,Africa
Nigeria,Africa
Nigeria,Africa
Kazakhstan,Asia
Sweden,Europe
Great Britain,Europe
France,Europe
Hungary,Europe
Lithuania,Europe
Chile,America
France,Europe
Puerto Rico,America
Angola,Africa
Congo,Africa
ROC,Europe
Monaco,Europe
Nigeria,Africa
Rwanda,Africa
Netherlands,Europe
Japan,Asia
Japan,Asia
France,Europe
Kenya,Africa
Sweden,Europe
Islamic Republic of Iran,Asia
Azerbaijan,Asia
Islamic Republic of Iran,Asia
Armenia,Asia
Azerbaijan,Asia
Nigeria,Africa
