Country,Silver
United States of America,41
People's Republic of China,32
ROC,28
Great Britain,21
Japan,14
Netherlands,12
France,12
Germany,11
Italy,10
Spain,8
Australia,7
Hungary,7
Canada,6
Brazil,6
New Zealand,6
Sweden,6
Ukraine,6
Poland,5
Georgia,5
Republic of Korea,4
Czech Republic,4
Kenya,4
Colombia,4
Switzerland,4
Denmark,4
Chinese Taipei,4
Cuba,3
Azerbaijan,3
Croatia,3
Dominican Republic,3
Venezuela,3
Romania,3
Belarus,3
South Africa,2
Slovakia,2
Philippines,2
"Hong Kong, China",2
India,2
Armenia,2
Kyrgyzstan,2
Turkey,2
Islamic Republic of Iran,2
Norway,2
Mongolia,1
Argentina,1
San Marino,1
Jordan,1
Malaysia,1
Nigeria,1
Bahrain,1
Saudi Arabia,1
Lithuania,1
North Macedonia,1
Namibia,1
Turkmenistan,1
Tunisia,1
Portugal,1
Ethiopia,1
Indonesia,1
Egypt,1
Austria,1
Ecuador,1
Uganda,1
Greece,1
Slovenia,1
Bulgaria,1
Belgium,1
Serbia,1
Jamaica,1
Estonia,0
Fiji,0
Latvia,0
Thailand,0
Bermuda,0
Morocco,0
Puerto Rico,0
Kosovo,0
Bahamas,0
Qatar,0
Israel,0
Ireland,0
Uzbekistan,0
Kazakhstan,0
Mexico,0
Finland,0
Botswana,0
Burkina Faso,0
Côte d'Ivoire,0
Ghana,0
Grenada,0
Kuwait,0
Republic of Moldova,0
Syrian Arab Republic,0
